20:11:45.154 [INFO] (trainer.py:174) Episode = 118, T_Steps = 20712, E_Steps = 243, R = -0.0761, succ =  0.4000, FPS = 14.55
20:11:58.396 [INFO] (trainer.py:174) Episode = 119, T_Steps = 20902, E_Steps = 190, R =  0.0274, succ =  0.3500, FPS = 14.35
20:12:02.197 [INFO] (trainer.py:174) Episode = 120, T_Steps = 20947, E_Steps = 45, R = -0.8108, succ =  0.3500, FPS = 11.84
20:12:14.073 [INFO] (trainer.py:174) Episode = 121, T_Steps = 21116, E_Steps = 169, R =  1.9423, succ =  0.4000, FPS = 14.23
20:12:26.044 [INFO] (trainer.py:174) Episode = 122, T_Steps = 21286, E_Steps = 170, R =  1.9514, succ =  0.4500, FPS = 14.20
20:12:43.801 [INFO] (trainer.py:174) Episode = 123, T_Steps = 21544, E_Steps = 258, R =  1.9175, succ =  0.5000, FPS = 14.53
20:12:56.175 [INFO] (trainer.py:174) Episode = 124, T_Steps = 21717, E_Steps = 173, R =  1.9256, succ =  0.5500, FPS = 13.98
20:13:08.187 [INFO] (trainer.py:174) Episode = 125, T_Steps = 21888, E_Steps = 171, R =  1.8958, succ =  0.6000, FPS = 14.24
20:13:22.662 [INFO] (trainer.py:174) Episode = 126, T_Steps = 22094, E_Steps = 206, R =  1.9387, succ =  0.6000, FPS = 14.23
20:13:31.426 [INFO] (trainer.py:174) Episode = 127, T_Steps = 22213, E_Steps = 119, R = -0.4133, succ =  0.6000, FPS = 13.58
20:13:35.837 [INFO] (trainer.py:174) Episode = 128, T_Steps = 22267, E_Steps = 54, R = -0.6640, succ =  0.6000, FPS = 12.25
20:13:40.252 [INFO] (trainer.py:174) Episode = 129, T_Steps = 22321, E_Steps = 54, R = -0.7953, succ =  0.5500, FPS = 12.23
20:13:52.047 [INFO] (trainer.py:174) Episode = 130, T_Steps = 22487, E_Steps = 166, R =  1.9123, succ =  0.6000, FPS = 14.08
20:14:03.419 [INFO] (trainer.py:174) Episode = 131, T_Steps = 22646, E_Steps = 159, R =  1.8781, succ =  0.6000, FPS = 13.98
20:14:15.206 [INFO] (trainer.py:174) Episode = 132, T_Steps = 22812, E_Steps = 166, R =  1.9488, succ =  0.6000, FPS = 14.09
20:14:32.403 [INFO] (trainer.py:174) Episode = 133, T_Steps = 23058, E_Steps = 246, R = -0.0192, succ =  0.6000, FPS = 14.31
20:14:44.261 [INFO] (trainer.py:174) Episode = 134, T_Steps = 23225, E_Steps = 167, R =  1.8654, succ =  0.6000, FPS = 14.08
20:15:02.824 [INFO] (trainer.py:174) Episode = 135, T_Steps = 23494, E_Steps = 269, R =  2.2679, succ =  0.6000, FPS = 14.49
20:15:14.585 [INFO] (trainer.py:174) Episode = 136, T_Steps = 23659, E_Steps = 165, R =  1.9116, succ =  0.6500, FPS = 14.03
20:15:26.271 [INFO] (trainer.py:174) Episode = 137, T_Steps = 23822, E_Steps = 163, R = -0.0568, succ =  0.6000, FPS = 13.95
20:15:37.367 [INFO] (trainer.py:174) Episode = 138, T_Steps = 23974, E_Steps = 152, R =  1.9052, succ =  0.6500, FPS = 13.70
20:15:48.180 [INFO] (trainer.py:174) Episode = 139, T_Steps = 24124, E_Steps = 150, R = -0.0945, succ =  0.6500, FPS = 13.87
20:15:59.622 [INFO] (trainer.py:174) Episode = 140, T_Steps = 24284, E_Steps = 160, R = -0.0317, succ =  0.6500, FPS = 13.98
20:16:14.745 [INFO] (trainer.py:174) Episode = 141, T_Steps = 24499, E_Steps = 215, R =  1.8627, succ =  0.6500, FPS = 14.22
20:16:26.480 [INFO] (trainer.py:174) Episode = 142, T_Steps = 24662, E_Steps = 163, R =  1.8983, succ =  0.6500, FPS = 13.89
20:16:37.572 [INFO] (trainer.py:174) Episode = 143, T_Steps = 24817, E_Steps = 155, R =  1.8556, succ =  0.6500, FPS = 13.98
20:16:49.672 [INFO] (trainer.py:174) Episode = 144, T_Steps = 24987, E_Steps = 170, R =  1.9231, succ =  0.6500, FPS = 14.05
20:17:01.677 [INFO] (trainer.py:174) Episode = 145, T_Steps = 25156, E_Steps = 169, R = -0.0697, succ =  0.6000, FPS = 14.08
20:17:13.947 [INFO] (trainer.py:174) Episode = 146, T_Steps = 25329, E_Steps = 173, R = -0.0347, succ =  0.5500, FPS = 14.10
20:17:26.521 [INFO] (trainer.py:174) Episode = 147, T_Steps = 25506, E_Steps = 177, R = -0.0220, succ =  0.5500, FPS = 14.08
20:17:30.582 [INFO] (trainer.py:174) Episode = 148, T_Steps = 25555, E_Steps = 49, R = -0.8081, succ =  0.5500, FPS = 12.07
20:17:41.939 [INFO] (trainer.py:174) Episode = 149, T_Steps = 25716, E_Steps = 161, R =  1.9055, succ =  0.6000, FPS = 14.18
20:17:57.535 [INFO] (trainer.py:174) Episode = 150, T_Steps = 25941, E_Steps = 225, R =  1.9294, succ =  0.6000, FPS = 14.43
20:18:22.145 [INFO] (trainer.py:174) Episode = 151, T_Steps = 26308, E_Steps = 367, R =  0.6349, succ =  0.5500, FPS = 14.91
20:18:34.617 [INFO] (trainer.py:174) Episode = 152, T_Steps = 26482, E_Steps = 174, R =  1.9737, succ =  0.5500, FPS = 13.95
20:18:46.215 [INFO] (trainer.py:174) Episode = 153, T_Steps = 26646, E_Steps = 164, R =  1.9611, succ =  0.6000, FPS = 14.14
20:18:59.937 [INFO] (trainer.py:174) Episode = 154, T_Steps = 26842, E_Steps = 196, R =  0.0385, succ =  0.5500, FPS = 14.29
20:19:11.395 [INFO] (trainer.py:174) Episode = 155, T_Steps = 27004, E_Steps = 162, R =  1.9002, succ =  0.5500, FPS = 14.14
20:19:35.702 [INFO] (trainer.py:174) Episode = 156, T_Steps = 27364, E_Steps = 360, R =  0.5931, succ =  0.5000, FPS = 14.81
20:19:47.874 [INFO] (trainer.py:174) Episode = 157, T_Steps = 27537, E_Steps = 173, R =  1.9731, succ =  0.5500, FPS = 14.21
20:19:52.735 [INFO] (trainer.py:174) Episode = 158, T_Steps = 27599, E_Steps = 62, R = -0.6396, succ =  0.5000, FPS = 12.76
20:20:04.959 [INFO] (trainer.py:174) Episode = 159, T_Steps = 27773, E_Steps = 174, R =  1.9626, succ =  0.5500, FPS = 14.24
20:20:17.085 [INFO] (trainer.py:174) Episode = 160, T_Steps = 27945, E_Steps = 172, R =  1.9473, succ =  0.6000, FPS = 14.19
20:20:28.684 [INFO] (trainer.py:174) Episode = 161, T_Steps = 28109, E_Steps = 164, R =  1.9544, succ =  0.6000, FPS = 14.14
20:20:44.851 [INFO] (trainer.py:174) Episode = 162, T_Steps = 28343, E_Steps = 234, R =  1.9584, succ =  0.6000, FPS = 14.48
20:20:58.653 [INFO] (trainer.py:174) Episode = 163, T_Steps = 28541, E_Steps = 198, R =  0.0320, succ =  0.5500, FPS = 14.35
20:21:10.630 [INFO] (trainer.py:174) Episode = 164, T_Steps = 28711, E_Steps = 170, R =  1.9236, succ =  0.5500, FPS = 14.20
20:21:21.966 [INFO] (trainer.py:174) Episode = 165, T_Steps = 28872, E_Steps = 161, R =  1.8729, succ =  0.6000, FPS = 14.21
20:21:33.215 [INFO] (trainer.py:174) Episode = 166, T_Steps = 29028, E_Steps = 156, R =  1.9032, succ =  0.6500, FPS = 13.87
20:21:52.248 [INFO] (trainer.py:174) Episode = 167, T_Steps = 29305, E_Steps = 277, R =  0.0648, succ =  0.6500, FPS = 14.55
20:22:04.071 [INFO] (trainer.py:174) Episode = 168, T_Steps = 29473, E_Steps = 168, R =  1.9315, succ =  0.7000, FPS = 14.21
20:22:15.891 [INFO] (trainer.py:174) Episode = 169, T_Steps = 29642, E_Steps = 169, R = -0.0788, succ =  0.6500, FPS = 14.30
20:22:27.688 [INFO] (trainer.py:174) Episode = 170, T_Steps = 29809, E_Steps = 167, R =  1.9030, succ =  0.6500, FPS = 14.16
20:22:39.021 [INFO] (trainer.py:174) Episode = 171, T_Steps = 29969, E_Steps = 160, R =  1.8623, succ =  0.7000, FPS = 14.12
20:22:50.037 [INFO] (trainer.py:174) Episode = 172, T_Steps = 30123, E_Steps = 154, R =  1.8908, succ =  0.7000, FPS = 13.98
20:23:01.290 [INFO] (trainer.py:174) Episode = 173, T_Steps = 30281, E_Steps = 158, R =  1.8532, succ =  0.7000, FPS = 14.04
20:23:05.026 [INFO] (trainer.py:174) Episode = 174, T_Steps = 30325, E_Steps = 44, R = -0.8260, succ =  0.7000, FPS = 11.78
20:23:21.542 [INFO] (trainer.py:174) Episode = 175, T_Steps = 30567, E_Steps = 242, R =  0.1929, succ =  0.6500, FPS = 14.65
20:23:32.989 [INFO] (trainer.py:174) Episode = 176, T_Steps = 30730, E_Steps = 163, R =  1.9090, succ =  0.7000, FPS = 14.24
20:23:45.166 [INFO] (trainer.py:174) Episode = 177, T_Steps = 30903, E_Steps = 173, R = -0.0159, succ =  0.6500, FPS = 14.21
20:23:56.794 [INFO] (trainer.py:174) Episode = 178, T_Steps = 31069, E_Steps = 166, R = -0.0650, succ =  0.6500, FPS = 14.28
20:24:10.203 [INFO] (trainer.py:174) Episode = 179, T_Steps = 31263, E_Steps = 194, R =  0.0304, succ =  0.6000, FPS = 14.47
20:24:25.221 [INFO] (trainer.py:174) Episode = 180, T_Steps = 31479, E_Steps = 216, R =  0.0424, succ =  0.5500, FPS = 14.38
20:24:35.815 [INFO] (trainer.py:174) Episode = 181, T_Steps = 31629, E_Steps = 150, R =  1.8280, succ =  0.5500, FPS = 14.16
20:25:00.008 [INFO] (trainer.py:174) Episode = 182, T_Steps = 31988, E_Steps = 359, R =  0.5504, succ =  0.5000, FPS = 14.84
