11:24:52.270 [INFO] (trainer.py:174) Episode = 89, T_Steps = 35827, E_Steps = 645, R =  1.4166, succ =  0.2500, FPS = 14.36
11:25:35.083 [INFO] (trainer.py:174) Episode = 90, T_Steps = 36443, E_Steps = 616, R =  1.3944, succ =  0.3000, FPS = 14.39
11:26:09.776 [INFO] (trainer.py:174) Episode = 91, T_Steps = 36924, E_Steps = 481, R = -0.6931, succ =  0.2500, FPS = 13.87
11:26:47.964 [INFO] (trainer.py:174) Episode = 92, T_Steps = 37462, E_Steps = 538, R = -0.6552, succ =  0.2000, FPS = 14.09
11:27:30.132 [INFO] (trainer.py:174) Episode = 93, T_Steps = 38053, E_Steps = 591, R =  1.3821, succ =  0.2500, FPS = 14.02
11:28:12.966 [INFO] (trainer.py:174) Episode = 94, T_Steps = 38541, E_Steps = 488, R = -0.6876, succ =  0.2500, FPS = 11.39
11:28:43.800 [INFO] (trainer.py:174) Episode = 95, T_Steps = 38817, E_Steps = 276, R = -0.8216, succ =  0.2500, FPS =  8.95
11:29:58.056 [INFO] (trainer.py:174) Episode = 96, T_Steps = 39452, E_Steps = 635, R =  1.4074, succ =  0.2500, FPS =  8.55
11:30:04.780 [INFO] (trainer.py:174) Episode = 97, T_Steps = 39483, E_Steps = 31, R = -0.9811, succ =  0.2500, FPS =  4.62
11:30:32.883 [INFO] (trainer.py:174) Episode = 98, T_Steps = 39724, E_Steps = 241, R = -0.8449, succ =  0.2000, FPS =  8.58
11:31:25.050 [INFO] (trainer.py:174) Episode = 99, T_Steps = 40169, E_Steps = 445, R = -0.7167, succ =  0.2000, FPS =  8.53
11:31:32.204 [INFO] (trainer.py:174) Episode = 100, T_Steps = 40201, E_Steps = 32, R = -0.9800, succ =  0.2000, FPS =  4.48
11:32:34.479 [INFO] (trainer.py:174) Episode = 101, T_Steps = 40763, E_Steps = 562, R = -0.6416, succ =  0.2000, FPS =  9.03
11:32:41.562 [INFO] (trainer.py:174) Episode = 102, T_Steps = 40795, E_Steps = 32, R = -0.9801, succ =  0.2000, FPS =  4.52
11:33:52.740 [INFO] (trainer.py:174) Episode = 103, T_Steps = 41434, E_Steps = 639, R =  1.4109, succ =  0.2500, FPS =  8.98
11:34:59.228 [INFO] (trainer.py:174) Episode = 104, T_Steps = 42028, E_Steps = 594, R =  1.3817, succ =  0.3000, FPS =  8.93
11:35:51.946 [INFO] (trainer.py:174) Episode = 105, T_Steps = 42487, E_Steps = 459, R = -0.7082, succ =  0.3000, FPS =  8.71
11:37:08.276 [INFO] (trainer.py:174) Episode = 106, T_Steps = 43156, E_Steps = 669, R =  1.4331, succ =  0.3500, FPS =  8.76
11:37:14.965 [INFO] (trainer.py:174) Episode = 107, T_Steps = 43187, E_Steps = 31, R = -0.9811, succ =  0.3500, FPS =  4.64
11:37:21.990 [INFO] (trainer.py:174) Episode = 108, T_Steps = 43217, E_Steps = 30, R = -0.9819, succ =  0.3500, FPS =  4.27
11:37:29.086 [INFO] (trainer.py:174) Episode = 109, T_Steps = 43250, E_Steps = 33, R = -0.9799, succ =  0.3000, FPS =  4.65
11:38:38.362 [INFO] (trainer.py:174) Episode = 110, T_Steps = 43847, E_Steps = 597, R = -0.6092, succ =  0.2500, FPS =  8.62
11:40:15.272 [INFO] (trainer.py:174) Episode = 111, T_Steps = 44690, E_Steps = 843, R =  1.5741, succ =  0.3000, FPS =  8.70
11:41:28.559 [INFO] (trainer.py:174) Episode = 112, T_Steps = 45328, E_Steps = 638, R = -0.5788, succ =  0.3000, FPS =  8.71
11:42:34.977 [INFO] (trainer.py:174) Episode = 113, T_Steps = 45931, E_Steps = 603, R = -0.6110, succ =  0.2500, FPS =  9.08
11:43:29.942 [INFO] (trainer.py:174) Episode = 114, T_Steps = 46388, E_Steps = 457, R = -0.7062, succ =  0.2500, FPS =  8.31
11:44:17.425 [INFO] (trainer.py:174) Episode = 115, T_Steps = 46808, E_Steps = 420, R = -0.7239, succ =  0.2500, FPS =  8.85
11:45:35.976 [INFO] (trainer.py:174) Episode = 116, T_Steps = 47491, E_Steps = 683, R =  1.4446, succ =  0.2500, FPS =  8.70
11:46:51.715 [INFO] (trainer.py:174) Episode = 117, T_Steps = 48158, E_Steps = 667, R =  1.4254, succ =  0.3000, FPS =  8.81
11:48:21.086 [INFO] (trainer.py:174) Episode = 118, T_Steps = 48954, E_Steps = 796, R =  1.5295, succ =  0.3500, FPS =  8.91
11:49:35.816 [INFO] (trainer.py:174) Episode = 119, T_Steps = 49596, E_Steps = 642, R =  1.4164, succ =  0.4000, FPS =  8.59
11:50:26.912 [INFO] (trainer.py:174) Episode = 120, T_Steps = 50037, E_Steps = 441, R = -0.7162, succ =  0.4000, FPS =  8.63
11:51:16.550 [INFO] (trainer.py:174) Episode = 121, T_Steps = 50465, E_Steps = 428, R = -0.7240, succ =  0.4000, FPS =  8.62
11:52:41.447 [INFO] (trainer.py:174) Episode = 122, T_Steps = 51198, E_Steps = 733, R =  1.4800, succ =  0.4500, FPS =  8.63
11:53:23.238 [INFO] (trainer.py:174) Episode = 123, T_Steps = 51567, E_Steps = 369, R = -0.7620, succ =  0.4000, FPS =  8.83
11:54:22.070 [INFO] (trainer.py:174) Episode = 124, T_Steps = 52080, E_Steps = 513, R = -0.6530, succ =  0.3500, FPS =  8.72
11:55:26.071 [INFO] (trainer.py:174) Episode = 125, T_Steps = 52629, E_Steps = 549, R = -0.6509, succ =  0.3500, FPS =  8.58
11:56:43.748 [INFO] (trainer.py:174) Episode = 126, T_Steps = 53319, E_Steps = 690, R =  1.4444, succ =  0.3500, FPS =  8.88
11:58:01.692 [INFO] (trainer.py:174) Episode = 127, T_Steps = 53998, E_Steps = 679, R =  1.4344, succ =  0.4000, FPS =  8.71
11:59:18.154 [INFO] (trainer.py:174) Episode = 128, T_Steps = 54682, E_Steps = 684, R =  1.4388, succ =  0.4500, FPS =  8.95
12:00:35.074 [INFO] (trainer.py:174) Episode = 129, T_Steps = 55356, E_Steps = 674, R =  1.4291, succ =  0.5000, FPS =  8.76
12:01:29.514 [INFO] (trainer.py:174) Episode = 130, T_Steps = 55818, E_Steps = 462, R = -0.7070, succ =  0.5000, FPS =  8.49
12:02:50.219 [INFO] (trainer.py:174) Episode = 131, T_Steps = 56523, E_Steps = 705, R =  1.4542, succ =  0.5000, FPS =  8.74
12:04:06.659 [INFO] (trainer.py:174) Episode = 132, T_Steps = 57203, E_Steps = 680, R =  1.4370, succ =  0.5500, FPS =  8.90
12:05:24.573 [INFO] (trainer.py:174) Episode = 133, T_Steps = 57878, E_Steps = 675, R =  1.4297, succ =  0.6000, FPS =  8.66
12:06:02.487 [INFO] (trainer.py:174) Episode = 134, T_Steps = 58199, E_Steps = 321, R = -0.7949, succ =  0.6000, FPS =  8.47
12:06:53.370 [INFO] (trainer.py:174) Episode = 135, T_Steps = 58634, E_Steps = 435, R = -0.7249, succ =  0.6000, FPS =  8.55
12:07:46.956 [INFO] (trainer.py:174) Episode = 136, T_Steps = 59091, E_Steps = 457, R = -0.7085, succ =  0.5500, FPS =  8.53
12:08:40.072 [INFO] (trainer.py:174) Episode = 137, T_Steps = 59537, E_Steps = 446, R = -0.7170, succ =  0.5000, FPS =  8.40
12:09:33.279 [INFO] (trainer.py:174) Episode = 138, T_Steps = 59973, E_Steps = 436, R = -0.7241, succ =  0.4500, FPS =  8.19
12:10:46.752 [INFO] (trainer.py:174) Episode = 139, T_Steps = 60607, E_Steps = 634, R =  1.4057, succ =  0.4500, FPS =  8.63
12:11:40.513 [INFO] (trainer.py:174) Episode = 140, T_Steps = 61076, E_Steps = 469, R = -0.6988, succ =  0.4500, FPS =  8.72
12:12:57.463 [INFO] (trainer.py:174) Episode = 141, T_Steps = 61736, E_Steps = 660, R =  1.4206, succ =  0.5000, FPS =  8.58
12:13:35.712 [INFO] (trainer.py:174) Episode = 142, T_Steps = 62069, E_Steps = 333, R = -0.7863, succ =  0.4500, FPS =  8.71
12:14:14.376 [INFO] (trainer.py:174) Episode = 143, T_Steps = 62390, E_Steps = 321, R = -0.7922, succ =  0.4500, FPS =  8.30
12:15:34.071 [INFO] (trainer.py:174) Episode = 144, T_Steps = 63084, E_Steps = 694, R =  1.4457, succ =  0.5000, FPS =  8.71
12:16:25.425 [INFO] (trainer.py:174) Episode = 145, T_Steps = 63540, E_Steps = 456, R = -0.7084, succ =  0.5000, FPS =  8.88
12:17:25.731 [INFO] (trainer.py:174) Episode = 146, T_Steps = 64061, E_Steps = 521, R = -0.6591, succ =  0.4500, FPS =  8.64
12:18:50.184 [INFO] (trainer.py:174) Episode = 147, T_Steps = 64809, E_Steps = 748, R =  1.4869, succ =  0.4500, FPS =  8.86
12:20:06.762 [INFO] (trainer.py:174) Episode = 148, T_Steps = 65476, E_Steps = 667, R =  1.4271, succ =  0.4500, FPS =  8.71
12:21:21.090 [INFO] (trainer.py:174) Episode = 149, T_Steps = 66141, E_Steps = 665, R =  1.4276, succ =  0.4500, FPS =  8.95
12:22:36.983 [INFO] (trainer.py:174) Episode = 150, T_Steps = 66810, E_Steps = 669, R =  1.4292, succ =  0.5000, FPS =  8.82
12:23:51.479 [INFO] (trainer.py:174) Episode = 151, T_Steps = 67486, E_Steps = 676, R =  1.4345, succ =  0.5000, FPS =  9.07
12:24:48.168 [INFO] (trainer.py:174) Episode = 152, T_Steps = 67986, E_Steps = 500, R = -0.6774, succ =  0.4500, FPS =  8.82
12:25:49.184 [INFO] (trainer.py:174) Episode = 153, T_Steps = 68551, E_Steps = 565, R =  1.3653, succ =  0.4500, FPS =  9.26
12:27:00.214 [INFO] (trainer.py:174) Episode = 154, T_Steps = 69168, E_Steps = 617, R =  1.3952, succ =  0.5000, FPS =  8.69
12:28:14.761 [INFO] (trainer.py:174) Episode = 155, T_Steps = 69826, E_Steps = 658, R =  1.4210, succ =  0.5500, FPS =  8.83
12:28:21.468 [INFO] (trainer.py:174) Episode = 156, T_Steps = 69859, E_Steps = 33, R = -0.9798, succ =  0.5500, FPS =  4.92
12:28:58.067 [INFO] (trainer.py:174) Episode = 157, T_Steps = 70179, E_Steps = 320, R = -0.7950, succ =  0.5500, FPS =  8.74
12:30:10.800 [INFO] (trainer.py:174) Episode = 158, T_Steps = 70819, E_Steps = 640, R =  1.4080, succ =  0.6000, FPS =  8.80
12:30:18.189 [INFO] (trainer.py:174) Episode = 159, T_Steps = 70856, E_Steps = 37, R = -0.9768, succ =  0.5500, FPS =  5.01
12:31:22.496 [INFO] (trainer.py:174) Episode = 160, T_Steps = 71420, E_Steps = 564, R =  1.3643, succ =  0.6000, FPS =  8.77
12:32:09.424 [INFO] (trainer.py:174) Episode = 161, T_Steps = 71804, E_Steps = 384, R = -0.7548, succ =  0.5500, FPS =  8.18
12:33:23.601 [INFO] (trainer.py:174) Episode = 162, T_Steps = 72463, E_Steps = 659, R =  1.4204, succ =  0.6000, FPS =  8.88
12:34:40.252 [INFO] (trainer.py:174) Episode = 163, T_Steps = 73142, E_Steps = 679, R =  1.4362, succ =  0.6500, FPS =  8.86
