22:11:08.723 [INFO] (trainer.py:174) Episode = 158, T_Steps = 24424, E_Steps = 142, R =  1.7898, succ =  0.6500, FPS = 13.94
22:11:20.944 [INFO] (trainer.py:174) Episode = 159, T_Steps = 24597, E_Steps = 173, R =  2.0396, succ =  0.6500, FPS = 14.16
22:11:31.274 [INFO] (trainer.py:174) Episode = 160, T_Steps = 24740, E_Steps = 143, R =  1.8269, succ =  0.6500, FPS = 13.84
22:11:33.231 [INFO] (trainer.py:174) Episode = 161, T_Steps = 24756, E_Steps = 16, R = -0.8919, succ =  0.6500, FPS =  8.18
22:11:43.951 [INFO] (trainer.py:174) Episode = 162, T_Steps = 24906, E_Steps = 150, R =  1.8288, succ =  0.7000, FPS = 13.99
22:11:45.952 [INFO] (trainer.py:174) Episode = 163, T_Steps = 24920, E_Steps = 14, R = -0.9018, succ =  0.6500, FPS =  7.00
22:11:56.437 [INFO] (trainer.py:174) Episode = 164, T_Steps = 25067, E_Steps = 147, R =  1.8198, succ =  0.7000, FPS = 14.02
22:12:01.053 [INFO] (trainer.py:174) Episode = 165, T_Steps = 25124, E_Steps = 57, R = -0.7925, succ =  0.6500, FPS = 12.35
22:12:11.938 [INFO] (trainer.py:174) Episode = 166, T_Steps = 25274, E_Steps = 150, R =  1.8253, succ =  0.6500, FPS = 13.78
22:12:21.844 [INFO] (trainer.py:174) Episode = 167, T_Steps = 25409, E_Steps = 135, R =  1.7430, succ =  0.6500, FPS = 13.63
22:12:32.976 [INFO] (trainer.py:174) Episode = 168, T_Steps = 25564, E_Steps = 155, R =  1.8474, succ =  0.6500, FPS = 13.93
22:12:43.488 [INFO] (trainer.py:174) Episode = 169, T_Steps = 25711, E_Steps = 147, R =  1.7810, succ =  0.7000, FPS = 13.99
22:12:55.179 [INFO] (trainer.py:174) Episode = 170, T_Steps = 25875, E_Steps = 164, R =  1.8815, succ =  0.7500, FPS = 14.03
22:12:59.047 [INFO] (trainer.py:174) Episode = 171, T_Steps = 25921, E_Steps = 46, R = -0.8307, succ =  0.7500, FPS = 11.90
22:13:09.261 [INFO] (trainer.py:174) Episode = 172, T_Steps = 26064, E_Steps = 143, R =  1.7561, succ =  0.7500, FPS = 14.00
22:13:15.656 [INFO] (trainer.py:174) Episode = 173, T_Steps = 26148, E_Steps = 84, R = -0.6106, succ =  0.7000, FPS = 13.14
22:13:26.177 [INFO] (trainer.py:174) Episode = 174, T_Steps = 26294, E_Steps = 146, R =  1.7808, succ =  0.7500, FPS = 13.88
22:13:36.964 [INFO] (trainer.py:174) Episode = 175, T_Steps = 26444, E_Steps = 150, R =  1.8278, succ =  0.7500, FPS = 13.91
22:13:48.161 [INFO] (trainer.py:174) Episode = 176, T_Steps = 26601, E_Steps = 157, R =  1.8623, succ =  0.7500, FPS = 14.02
22:13:58.940 [INFO] (trainer.py:174) Episode = 177, T_Steps = 26752, E_Steps = 151, R =  1.8345, succ =  0.7500, FPS = 14.01
22:14:10.589 [INFO] (trainer.py:174) Episode = 178, T_Steps = 26912, E_Steps = 160, R =  1.8450, succ =  0.7500, FPS = 13.74
22:14:21.159 [INFO] (trainer.py:174) Episode = 179, T_Steps = 27058, E_Steps = 146, R =  1.7819, succ =  0.7500, FPS = 13.81
22:14:32.597 [INFO] (trainer.py:174) Episode = 180, T_Steps = 27219, E_Steps = 161, R =  1.8455, succ =  0.7500, FPS = 14.08
22:14:40.866 [INFO] (trainer.py:174) Episode = 181, T_Steps = 27330, E_Steps = 111, R = -0.4886, succ =  0.7500, FPS = 13.43
22:14:51.460 [INFO] (trainer.py:174) Episode = 182, T_Steps = 27478, E_Steps = 148, R =  1.7952, succ =  0.7500, FPS = 13.97
22:14:56.339 [INFO] (trainer.py:174) Episode = 183, T_Steps = 27538, E_Steps = 60, R = -0.7749, succ =  0.7500, FPS = 12.30
22:15:07.788 [INFO] (trainer.py:174) Episode = 184, T_Steps = 27699, E_Steps = 161, R =  1.8454, succ =  0.7500, FPS = 14.06
22:15:21.157 [INFO] (trainer.py:174) Episode = 185, T_Steps = 27890, E_Steps = 191, R =  2.0813, succ =  0.8000, FPS = 14.29
22:15:32.425 [INFO] (trainer.py:174) Episode = 186, T_Steps = 28048, E_Steps = 158, R =  1.8916, succ =  0.8000, FPS = 14.02
22:15:43.129 [INFO] (trainer.py:174) Episode = 187, T_Steps = 28198, E_Steps = 150, R =  1.8179, succ =  0.8000, FPS = 14.01
22:15:54.981 [INFO] (trainer.py:174) Episode = 188, T_Steps = 28364, E_Steps = 166, R =  1.8798, succ =  0.8000, FPS = 14.01
22:16:05.613 [INFO] (trainer.py:174) Episode = 189, T_Steps = 28512, E_Steps = 148, R =  1.8188, succ =  0.8000, FPS = 13.92
